,Title,Genre,Premiere,Runtime,IMDB Score,Language
139,Earthquake Bird,Mystery,15-Nov-19,107,5.9,English
140,El Camino Christmas,Dark comedy,8-Dec-17,89,5.7,English
141,El Camino: A Breaking Bad Movie,Crime drama,11-Oct-19,121,7.3,English
142,El Pepe: A Supreme Life,Documentary,27-Dec-19,73,7.1,Spanish
143,Eli,Horror,18-Oct-19,98,5.7,English
144,Elisa & Marcela,Romance,7-Jun-19,118,6.6,Spanish
145,Emicida: AmarElo - It's All For Yesterday,Documentary,8-Dec-20,89,8.6,Portuguese
146,End Game,Documentary,4-May-18,40,7.1,English
147,Enter the Anime,Documentary,5-Aug-19,58,2.5,English/Japanese
148,Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26-Jun-20,123,6.5,English
149,Evelyn,Documentary,10-Sep-19,96,7.1,English
150,Extinction,Science fiction/Thriller,27-Jul-18,95,5.8,English
151,Extraction,Action,24-Apr-20,117,6.7,English
152,Extremis,Documentary,13-Sep-16,24,7.3,English
153,Falling Inn Love,Romantic comedy,29-Aug-19,97,5.6,English
154,Fatal Affair,Thriller,16-Jul-20,89,4.5,English
155,Father of the Year,Comedy,20-Jul-18,94,5.2,English
156,Father Soldier Son,Documentary,17-Jul-20,100,7.3,English
157,Fearless,Animation/Superhero,14-Aug-20,89,4.9,English
158,Feel the Beat,Family/Comedy-drama,19-Jun-20,107,6.3,English
159,Feminists: What Were They Thinking?,Documentary,12-Oct-18,86,7,English
160,Ferry,Crime drama,14-May-21,106,7.1,Dutch
161,Finding 'Ohana,Family,29-Jan-21,123,6.1,English
162,Finding Agnes,Drama,30-Nov-20,105,4.7,Filipino
163,Fire in Paradise,Documentary,1-Nov-19,39,7.4,English
164,Firebrand,Drama,22-Feb-19,112,5.2,Marathi
165,First Match,Sports-drama,30-Mar-18,102,6.4,English
166,First They Killed My Father,Drama,15-Sep-17,136,7.2,Khmer/English/French
167,Forgive Us Our Debts,Drama,4-May-18,104,6,Italian
168,Fractured,Thriller,11-Oct-19,100,6.4,English
169,"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,16-Jul-19,32,5.9,English
170,Freaks: You're One of Us,Supernatural drama,2-Sep-20,92,5.4,German
171,Fyre: The Greatest Party That Never Happened,Documentary,18-Jan-19,97,7.2,English
172,Gaga: Five Foot Two,Documentary,22-Sep-17,100,7,English
173,"Game Over, Man!",Action/Comedy,23-Mar-18,101,5.4,English
174,Geez & Ann,Romantic drama,25-Feb-21,105,5.1,Indonesian
175,Gerald's Game,Horror thriller,29-Sep-17,103,6.5,English
176,Get Me Roger Stone,Documentary,12-May-17,101,7.3,English
177,Get the Goat,Comedy,18-Mar-21,97,6.3,Portuguese
178,Get the Grift,Comedy,28-Apr-21,94,5.5,Portuguese
179,Ghost Lab,Horror,26-May-21,117,5.2,Thai
180,Ghost Stories,Horror anthology,1-Jan-20,144,4.3,Hindi
181,Ghosts of Sugar Land,Documentary,16-Oct-19,21,5.5,English
182,GIMS: On the Record,Documentary,17-Sep-20,96,6.8,French
183,Ginny Weds Sunny,Romantic comedy,9-Oct-20,125,5.7,Hindi
184,Girlfriend's Day,Comedy,14-Feb-17,70,5.2,English
185,Giving Voice,Documentary,11-Dec-20,90,6.7,English
186,Good Sam,Drama,16-May-19,89,5.7,English
187,Grass Is Greener,Documentary,20-Apr-19,97,7.1,English
188,Guillermo Vilas: Settling the Score,Documentary,27-Oct-20,94,7.1,Spanish
189,Guilty,Thriller,6-Mar-20,119,6.3,Hindi
190,Gunjan Saxena: The Kargil Girl,Drama,12-Aug-20,112,5.3,Hindi
191,Handsome: A Netflix Mystery Movie,Comedy,5-May-17,81,5.2,English
192,Happy Anniversary,Romantic comedy,30-Mar-18,78,5.8,English
193,Have a Good Trip: Adventures in Psychedelics,Documentary,11-May-20,85,6.8,English
194,Have You Ever Seen Fireflies?,Comedy,9-Apr-21,114,6.2,Turkish
195,"Hello Privilege. It's Me, Chelsea",Documentary,13-Sep-19,64,4.4,English
196,Heroin(e) ,Documentary,12-Sep-17,39,6.8,English
197,High Flying Bird,Sports-drama,8-Feb-19,90,6.2,English
198,Hillbilly Elegy,Drama,24-Nov-20,117,6.7,English
199,His House,Thriller,30-Oct-20,93,6.5,English
200,Hold the Dark,Thriller,28-Sep-18,125,5.6,English
201,Holidate,Romantic comedy/Holiday,28-Oct-20,104,6.1,English
202,Holiday in the Wild,Adventure-romance,1-Nov-19,85,6.1,English
203,Holiday Rush,Family film,28-Nov-19,94,4.9,English
204,Homecoming: A Film by Beyonce ,Documentary,17-Apr-19,137,7.5,English
205,Hope Frozen: A Quest to Live Twice,Documentary,15-Sep-20,80,6.7,Thia/English
206,Horse Girl,Drama,7-Feb-20,104,5.9,English
207,Hot Girls Wanted,Documentary,29-May-15,84,6.1,English
208,House Arrest,Comedy,15-Nov-19,104,5.5,Hindi
209,How It Ends,Action-thriller,13-Jul-18,113,5,English
210,Hubie Halloween,Comedy,7-Oct-20,103,5.2,English
211,I Am All Girls,Thriller,14-May-21,107,5.8,English
212,I Am Not an Easy Man,Romantic comedy,13-Apr-18,98,6.3,French
213,I Am the Pretty Thing That Lives in the House,Horror,28-Oct-16,89,4.6,English
214,I Don't Feel at Home in This World Anymore,Drama,24-Feb-17,96,6.9,English
215,I'll Sleep When I'm Dead,Documentary,19-Aug-16,79,6.6,English
216,I'm No Longer Here,Drama,27-May-20,105,7.3,Spanish
217,I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,3-Nov-20,14,7,English
218,I'm Thinking of Ending Things,Psychological thriller,4-Sep-20,134,6.6,English
